ツイート本文,ツイート本文_x,時間,いいね,リツイート,インプレッション,エンゲージメント,エンゲージメント率,返信,ユーザープロフィールクリック,URLクリック数,ハッシュタグクリック,詳細クリック,フォローしている,メディアの再生数,メディアのエンゲージメント数,media_exist,reply_flg,文字数,YMD,YEAR,MONTH,DAY,TIME,WEEKDAY,WEEK
"今日のしっぽ観察
「散歩行こっか」 https://t.co/TJIQERd6dQ",今日のしっぽ観察 「散歩行こっか」 ,2021-01-03 06:02:00+00:00,234.0,3.0,2475.0,382.0,0.1543434343434343,1.0,34.0,1.0,0.0,52.0,0,604,57,True,False,18,20210103,2021,1,3,6,6,53
正月早々、白目で寝ているみるく🐶 https://t.co/r18ZlwdGLM,正月早々、白目で寝ているみるく🐶 ,2021-01-02 05:06:00+00:00,175.0,2.0,1737.0,301.0,0.1732872769142199,0.0,30.0,0.0,0.0,26.0,0,408,68,True,False,17,20210102,2021,1,2,5,5,53
"新年明けましておめでとうございます㊗️🎊
今年もよろしくお願いいたします🤲 https://t.co/6GLt0dvjbc",新年明けましておめでとうございます㊗️🎊 今年もよろしくお願いいたします🤲 ,2021-01-01 01:00:00+00:00,251.0,5.0,1962.0,361.0,0.1839959225280326,5.0,28.0,2.0,0.0,46.0,0,481,24,True,False,38,20210101,2021,1,1,1,4,53
"@mashi_melon こちらこそいつもありがとうございます😊
今年も宜しくお願いします！", こちらこそいつもありがとうございます😊 今年も宜しくお願いします,2020-12-31 15:18:00+00:00,1.0,0.0,70.0,1.0,0.0142857142857142,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,33,20201231,2020,12,31,15,3,53
"今年も終わっちゃう〜🐩

今年はTwitter活動して、たくさんのワンちゃんと出会えた💖🌼

楽しかったわん🐶

大晦日もママの膝で過ごすよ〜🧸 https://t.co/AJBBDtebrm",今年も終わっちゃう〜🐩  今年は活動して、たくさんのワンちゃんと出会えた💖🌼  楽しかったわん🐶  大晦日もママの膝で過ごすよ〜🧸 ,2020-12-31 01:02:00+00:00,153.0,2.0,1195.0,215.0,0.1799163179916318,1.0,12.0,0.0,0.0,16.0,0,31,31,True,False,66,20201231,2020,12,31,1,3,53
https://t.co/O8fCCB2ECG,,2020-12-31 00:54:00+00:00,305.0,4.0,3317.0,418.0,0.1260174856798311,0.0,32.0,1.0,0.0,19.0,0,57,57,True,False,0,20201231,2020,12,31,0,3,53
脚長なんです🦵 https://t.co/jTJYkFyffD,脚長なんです🦵 ,2020-12-28 12:39:00+00:00,335.0,6.0,2963.0,490.0,0.1653729328383395,4.0,37.0,1.0,0.0,60.0,0,671,47,True,False,8,20201228,2020,12,28,12,0,53
どうしてもママにくっついていたい🐶 https://t.co/irWpcpzBv4,どうしてもママにくっついていたい🐶 ,2020-12-28 02:11:00+00:00,403.0,6.0,4506.0,672.0,0.1491344873501997,3.0,43.0,0.0,0.0,88.0,0,1092,129,True,False,18,20201228,2020,12,28,2,0,53
メリークリスマス🎄🎁 https://t.co/vAD1LeaWer,メリークリスマス🎄🎁 ,2020-12-25 11:23:00+00:00,267.0,4.0,2316.0,397.0,0.1714162348877374,0.0,35.0,0.0,0.0,24.0,0,541,67,True,False,11,20201225,2020,12,25,11,4,52
ブブゥ〜💨 https://t.co/igwrols0sW,ブブゥ〜💨 ,2020-12-23 12:24:00+00:00,190.0,2.0,1790.0,313.0,0.1748603351955307,1.0,25.0,0.0,0.0,40.0,0,419,55,True,False,6,20201223,2020,12,23,12,2,52
